Frequency (Hz),S12 Real,S12 Imaginary
426892689,0.461623,-0.510827
427482748,0.454137,-0.517665
428072807,0.446568,-0.524504
428662866,0.43898,-0.5311
429252925,0.431299,-0.537665
429842984,0.423184,-0.54415
430433043,0.415361,-0.550436
431023102,0.407001,-0.556932
431613161,0.398983,-0.562908
432203220,0.39054,-0.569
432793279,0.382049,-0.574888
433383338,0.373539,-0.580571
433973397,0.365006,-0.586156
434563456,0.35636,-0.591665
435153515,0.347595,-0.596972
435743574,0.338749,-0.602197
436333633,0.329769,-0.607168
436923692,0.320743,-0.612131
437513751,0.31174,-0.616902
438103810,0.302352,-0.621603
438693869,0.292968,-0.626182
439283928,0.283703,-0.630517
439873987,0.274734,-0.634552
440464046,0.265257,-0.638608
441054105,0.255649,-0.642617
441644164,0.246157,-0.646358
442234223,0.236625,-0.649923
442824282,0.226912,-0.65358
443414341,0.21716,-0.656855
444004400,0.207498,-0.660078
444594459,0.197801,-0.662986
445184518,0.187892,-0.665962
445774577,0.177989,-0.668665
446364636,0.168024,-0.671343
446954695,0.158191,-0.673678
447544754,0.148137,-0.675948
448134813,0.138051,-0.678085
448724872,0.128193,-0.680046
449314931,0.11794,-0.681899
449904990,0.107875,-0.683524
450495049,0.097699,-0.685047
451085108,0.0874561,-0.686488
451675167,0.0772131,-0.687593
452265226,0.066834,-0.68867
452855285,0.0567071,-0.689564
453445344,0.0466592,-0.69029
454035403,0.0364451,-0.690942
454625462,0.0261456,-0.691277
455215521,0.0157334,-0.691475
455805580,0.00573833,-0.691635
456395639,-0.00461135,-0.691479
456985698,-0.0149977,-0.6913
457575757,-0.0250822,-0.690872
458165816,-0.0351636,-0.690348
458755875,-0.0454796,-0.689718
459345934,-0.0553906,-0.688831
459935993,-0.0658029,-0.687744
460526052,-0.0757566,-0.686629
461116111,-0.0859742,-0.685247
461706170,-0.0960937,-0.683785
462296229,-0.105749,-0.682198
462886288,-0.115895,-0.680329
463476347,-0.1258,-0.678508
464066406,-0.135704,-0.676385
464656465,-0.145363,-0.674341
465246524,-0.155227,-0.671895
465836583,-0.165091,-0.66943
466426642,-0.174911,-0.666725
467016701,-0.184606,-0.66399
467606760,-0.19465,-0.660971
468196819,-0.204123,-0.658007
468786878,-0.213614,-0.654866
469376937,-0.223415,-0.651358
469966996,-0.232707,-0.648009
470557055,-0.242283,-0.644324
471147114,-0.251717,-0.640677
471737173,-0.261002,-0.636678
472327232,-0.270377,-0.632625
472917291,-0.279556,-0.628462
473507350,-0.288899,-0.624076
474097409,-0.29814,-0.619478
474687468,-0.306881,-0.614957
475277527,-0.316433,-0.609984
475867586,-0.325031,-0.605177
476457645,-0.333903,-0.600073
477047704,-0.342637,-0.594911
477637763,-0.351404,-0.589576
478227822,-0.360123,-0.583956
478817881,-0.36873,-0.578318
479407940,-0.377126,-0.572516
479997999,-0.385378,-0.566623
480588058,-0.393646,-0.560648
481178117,-0.401835,-0.554468
481768176,-0.409793,-0.548232
482358235,-0.417736,-0.541909
482948294,-0.425388,-0.535445
483538353,-0.433204,-0.52891
484128412,-0.440799,-0.522137
484718471,-0.448083,-0.51542
485308530,-0.455605,-0.508316
485898589,-0.462729,-0.501521
486488648,-0.469959,-0.494207
487078707,-0.477079,-0.486994
487668766,-0.483996,-0.4796
488258825,-0.490734,-0.472069
488848884,-0.497494,-0.464328
489438943,-0.504192,-0.456587
490029002,-0.510322,-0.449104
490619061,-0.5168,-0.441023
491209120,-0.522911,-0.433106
491799179,-0.528884,-0.425147
492389238,-0.534925,-0.41682
492979297,-0.540764,-0.408631
493569356,-0.546276,-0.400477
494159415,-0.551931,-0.391993
494749474,-0.557187,-0.38358
495339533,-0.562452,-0.375179
495929592,-0.567484,-0.366636
496519651,-0.572426,-0.357997
497109710,-0.577173,-0.349415
497699769,-0.581877,-0.340631
498289828,-0.586498,-0.33164
498879887,-0.590835,-0.322858
499469946,-0.595032,-0.313994
500060005,-0.599299,-0.304708
500650064,-0.603209,-0.295748
501240123,-0.607197,-0.286417
501830182,-0.610813,-0.277512
502420241,-0.614433,-0.268204
503010300,-0.617833,-0.258971
503600359,-0.621087,-0.249621
504190418,-0.624162,-0.240416
504780477,-0.627135,-0.231107
505370536,-0.63,-0.221538
505960595,-0.632794,-0.212027
506550654,-0.635219,-0.20281
507140713,-0.637565,-0.193516
507730772,-0.639933,-0.183541
508320831,-0.641986,-0.174423
508910890,-0.643957,-0.164801
509500949,-0.645838,-0.155118
510091008,-0.647478,-0.145391
510681067,-0.649036,-0.135863
511271126,-0.650448,-0.126372
511861185,-0.651648,-0.116638
512451244,-0.65273,-0.107182
513041303,-0.653682,-0.0975872
513631362,-0.654509,-0.0880187
514221422,-0.655153,-0.0784314
514811481,-0.655693,-0.069038
515401540,-0.656007,-0.0594606
515991599,-0.656317,-0.0500457
516581658,-0.656403,-0.0404262
517171717,-0.656412,-0.0309331
517761776,-0.656125,-0.0214148
518351835,-0.65588,-0.0118507
518941894,-0.655401,-0.00232277
519531953,-0.654779,0.00713852
520122012,-0.65404,0.0166782
520712071,-0.653119,0.0261229
521302130,-0.652078,0.0354237
521892189,-0.650903,0.0445735
522482248,-0.649679,0.0538773
523072307,-0.648258,0.0629513
523662366,-0.646746,0.0722075
524252425,-0.645074,0.0813843
524842484,-0.643208,0.0904823
525432543,-0.641151,0.099727
526022602,-0.639132,0.108747
526612661,-0.637044,0.117789
527202720,-0.634675,0.126447
527792779,-0.632194,0.135483
528382838,-0.629654,0.14431
528972897,-0.627078,0.152921
529562956,-0.624236,0.161662
530153015,-0.621236,0.170619
530743074,-0.61823,0.178951
531333133,-0.615147,0.187501
531923192,-0.61177,0.196334
532513251,-0.608353,0.204891
533103310,-0.604804,0.213163
533693369,-0.60125,0.221269
534283428,-0.597376,0.229761
534873487,-0.593573,0.237935
535463546,-0.589565,0.246136
536053605,-0.585538,0.25422
536643664,-0.581317,0.262167
537233723,-0.577247,0.269794
537823782,-0.572922,0.277563
