Frequency (Hz),S12 Real,S12 Imaginary
249024902,-0.670048,-0.152317
249624962,-0.671588,-0.142301
250225022,-0.673113,-0.132131
250825082,-0.674213,-0.121871
251425142,-0.675369,-0.112068
252025202,-0.676363,-0.101719
252625262,-0.677159,-0.0915803
253225322,-0.677779,-0.0814425
253825382,-0.67825,-0.0714298
254425442,-0.678638,-0.0612203
255025502,-0.678708,-0.0513592
255625562,-0.678672,-0.0414807
256225622,-0.678616,-0.0310311
256825682,-0.678246,-0.0212748
257425742,-0.677765,-0.0113314
258025802,-0.677253,-0.00141342
258625862,-0.676433,0.00860069
259225922,-0.675605,0.0185579
259825982,-0.674514,0.0284481
260426042,-0.673379,0.0383716
261026102,-0.671988,0.0478051
261626162,-0.670686,0.057496
262226222,-0.669019,0.0672723
262826282,-0.667239,0.0767675
263426342,-0.665379,0.0861813
264026402,-0.663292,0.0958742
264626462,-0.661068,0.105403
265226522,-0.659015,0.11462
265826582,-0.656591,0.124003
266426642,-0.654013,0.133272
267026702,-0.651187,0.142437
267626762,-0.648635,0.151522
268226822,-0.64568,0.161016
268826882,-0.64265,0.169891
269426942,-0.639407,0.178923
270027002,-0.636052,0.188085
270627062,-0.632705,0.196866
271227122,-0.62917,0.205663
271827182,-0.625639,0.214328
272427242,-0.621894,0.222823
273027302,-0.617975,0.231502
273627362,-0.614022,0.239962
274227422,-0.609936,0.24823
274827482,-0.605699,0.256555
275427542,-0.601459,0.26499
276027602,-0.597074,0.272946
276627662,-0.592589,0.281362
277227722,-0.588029,0.289355
277827782,-0.583287,0.297264
278427842,-0.578394,0.305224
279027902,-0.573479,0.312841
279627962,-0.568536,0.320716
280228022,-0.563431,0.328243
280828082,-0.558361,0.335948
281428142,-0.552999,0.343431
282028202,-0.547689,0.350703
282628262,-0.542179,0.358061
283228322,-0.536704,0.365149
283828382,-0.531189,0.372248
284428442,-0.525354,0.379415
285028502,-0.519563,0.386279
285628562,-0.51371,0.393124
286228622,-0.507864,0.399842
286828682,-0.501827,0.406429
287428742,-0.495842,0.412898
288028802,-0.489555,0.419512
288628862,-0.48338,0.425951
289228922,-0.477179,0.432175
289828982,-0.47072,0.438436
290429042,-0.464181,0.444621
291029102,-0.457746,0.450539
291629162,-0.451158,0.456308
292229222,-0.444614,0.462207
292829282,-0.437986,0.467819
293429342,-0.431232,0.473458
294029402,-0.424316,0.479045
294629462,-0.417386,0.484497
295229522,-0.410435,0.489939
295829582,-0.403513,0.49519
296429642,-0.396348,0.500352
297029702,-0.389147,0.505492
297629762,-0.382018,0.510272
298229822,-0.374701,0.515339
298829882,-0.367557,0.520133
299429942,-0.360208,0.524765
300030003,-0.353038,0.529195
300630063,-0.345356,0.533839
301230123,-0.338045,0.538187
301830183,-0.330419,0.542564
302430243,-0.322997,0.546731
303030303,-0.315355,0.550787
303630363,-0.308009,0.554677
304230423,-0.300029,0.558608
304830483,-0.292461,0.562241
305430543,-0.284714,0.566114
306030603,-0.276896,0.569752
306630663,-0.269275,0.573076
307230723,-0.261484,0.576459
307830783,-0.253506,0.579863
308430843,-0.245655,0.582892
309030903,-0.237701,0.586166
309630963,-0.229799,0.58901
310231023,-0.221741,0.591998
310831083,-0.213533,0.594903
